relpath	bytes	sha256	repo	revision
models/Pixal3D-GGUF/FORK_PROVENANCE.md	1250	285495f037cae1bfde40e301b08cef12cea1a90b9e86af3cb5c8b70b9bb803d4	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/README.md	59	c5230155c09d46d123be138092e6fc7e703df112a996e21fff2f23715ef4edc6	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/pipeline.json	4068	1647217de06e32477702d14895e826fea73497d94537b809a53637f13482a237	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/Sparse/ss_flow_img_dit_1_3B_64_bf16.gguf	2681588992	113e00d1548d512e625eb76437cafd7fa2d79101efb4438fdb8b174ec21e559c	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/Sparse/ss_flow_img_dit_1_3B_64_bf16.json	503	2b3ef4c63b72a3de8adf745bd9d9d36b7960bdd7ba3740a6fa4d18fea6c475dd	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/decoder/shape_dec_next_dc_f16c32_fp16.json	678	5f1b856dffce79466fb18f5f0eefc08f08c673b24b3c05b20359c0b6d318a209	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/decoder/shape_dec_next_dc_f16c32_fp16.safetensors	948490494	e3b718d3e43e4f8780e9a24ac6fff231811a67e3b058e336e10fe654c911d581	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/decoder/ss_dec_conv3d_16l8_fp16.json	245	646781293f1cda74720de85d1cef50a957fb4aebd9a4bd014e454e32f2330ac5	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/decoder/ss_dec_conv3d_16l8_fp16.safetensors	147591972	1c76d4a40519aa2d711cc263a8404105231ac26db31d946bed48b84fee79009a	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/decoder/tex_dec_next_dc_f16c32_fp16.json	705	22074e4ab5b28e2b72d33a3fe61bf416134b89e12d0fc5c729f37da75da0c4d1	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/decoder/tex_dec_next_dc_f16c32_fp16.safetensors	948458812	97ea69addea2ecd9312910f5f548234665eef51c088386180b7cd5b258645e3c	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/shape/slat_flow_img2shape_dit_1_3B_1024_bf16.gguf	2775572064	346ff60a28cc265cb38a6a9b8078ad214334ebe9848003028afe1c0b36468ede	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/shape/slat_flow_img2shape_dit_1_3B_1024_bf16.json	535	f47fca56311959a643e8cfd2750229a2c53cbab0027406d8426cd564ce4fb5bc	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/shape/slat_flow_img2shape_dit_1_3B_512_bf16.gguf	2775572064	a4a99ba71e6065fa67b72fa903fbe7a7c1049eb6aee3c85df435d8795b846185	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
models/Pixal3D-GGUF/shape/slat_flow_img2shape_dit_1_3B_512_bf16.json	535	2f7b736e8535aae96e7c41e8d123c24a14ee809fc25bea76eeac72643d21b997	chibifire/Pixal3D-GGUF	cf5fdd19a700dff63744f752c569dc1fca1e8811
